date,OT
2023-10-04 08:09:00,2223
2023-10-04 08:10:00,2757
2023-10-04 08:11:00,4047
2023-10-04 08:12:00,4489
2023-10-04 08:13:00,4588
2023-10-04 08:14:00,4398
2023-10-04 08:15:00,3340
2023-10-04 08:16:00,2344
2023-10-04 08:17:00,2973
2023-10-04 08:18:00,4638
2023-10-04 08:19:00,4791
2023-10-04 08:20:00,5104
2023-10-04 08:21:00,4621
2023-10-04 08:22:00,3831
2023-10-04 08:23:00,2295
2023-10-04 08:24:00,3235
2023-10-04 08:25:00,4918
2023-10-04 08:26:00,5127
2023-10-04 08:27:00,4794
2023-10-04 08:28:00,4788
2023-10-04 08:29:00,3948
2023-10-04 08:30:00,2383
2023-10-04 08:31:00,2950
2023-10-04 08:32:00,4905
2023-10-04 08:33:00,5353
2023-10-04 08:34:00,5492
2023-10-04 08:35:00,5052
2023-10-04 08:36:00,3764
2023-10-04 08:37:00,2458
2023-10-04 08:38:00,3098
2023-10-04 08:39:00,4951
2023-10-04 08:40:00,5495
2023-10-04 08:41:00,5505
2023-10-04 08:42:00,5188
2023-10-04 08:43:00,4002
2023-10-04 08:44:00,2607
2023-10-04 08:45:00,3906
2023-10-04 08:46:00,6360
2023-10-04 08:47:00,6046
2023-10-04 08:48:00,5938
2023-10-04 08:49:00,5325
2023-10-04 08:50:00,4165
2023-10-04 08:51:00,2829
2023-10-04 08:52:00,4090
2023-10-04 08:53:00,5734
2023-10-04 08:54:00,6214
2023-10-04 08:55:00,5906
2023-10-04 08:56:00,5814
2023-10-04 08:57:00,4507
2023-10-04 08:58:00,2859
2023-10-04 08:59:00,3897
2023-10-04 09:00:00,5849
2023-10-04 09:01:00,6264
2023-10-04 09:02:00,6062
2023-10-04 09:03:00,5685
2023-10-04 09:04:00,4391
2023-10-04 09:05:00,2880
2023-10-04 09:06:00,3740
2023-10-04 09:07:00,5710
2023-10-04 09:08:00,5168
2023-10-04 09:09:00,5577
2023-10-04 09:10:00,5238
2023-10-04 09:11:00,3931
2023-10-04 09:12:00,2606
2023-10-04 09:13:00,3149
2023-10-04 09:14:00,5565
2023-10-04 09:15:00,5281
2023-10-04 09:16:00,5202
2023-10-04 09:17:00,4581
2023-10-04 09:18:00,3264
2023-10-04 09:19:00,2344
2023-10-04 09:20:00,3112
2023-10-04 09:21:00,5051
2023-10-04 09:22:00,5333
2023-10-04 09:23:00,5671
2023-10-04 09:24:00,5097
2023-10-04 09:25:00,4555
2023-10-04 09:26:00,2987
2023-10-04 09:27:00,4257
2023-10-04 09:28:00,5804
2023-10-04 09:29:00,5885
2023-10-04 09:30:00,6054
2023-10-04 09:31:00,5791
2023-10-04 09:32:00,4741
2023-10-04 09:33:00,2946
2023-10-04 09:34:00,4071
2023-10-04 09:35:00,6265
2023-10-04 09:36:00,6298
2023-10-04 09:37:00,6495
2023-10-04 09:38:00,5536
2023-10-04 09:39:00,4737
2023-10-04 09:40:00,3232
2023-10-04 09:41:00,4201
2023-10-04 09:42:00,6806
2023-10-04 09:43:00,6769
2023-10-04 09:44:00,6581
2023-10-04 09:45:00,6254
2023-10-04 09:46:00,5163
2023-10-04 09:47:00,3851
2023-10-04 09:48:00,4695
2023-10-04 09:49:00,7098
2023-10-04 09:50:00,7156
2023-10-04 09:51:00,6836
2023-10-04 09:52:00,6329
2023-10-04 09:53:00,4990
2023-10-04 09:54:00,3536
2023-10-04 09:55:00,4366
2023-10-04 09:56:00,6510
2023-10-04 09:57:00,6855
2023-10-04 09:58:00,6599
2023-10-04 09:59:00,5510
2023-10-04 10:00:00,4549
2023-10-04 10:01:00,3064
2023-10-04 10:02:00,3633
2023-10-04 10:03:00,5838
2023-10-04 10:04:00,6026
2023-10-04 10:05:00,5780
2023-10-04 10:06:00,5131
2023-10-04 10:07:00,3928
2023-10-04 10:08:00,2636
2023-10-04 10:09:00,3278
2023-10-04 10:10:00,4785
2023-10-04 10:11:00,4886
2023-10-04 10:12:00,5145
2023-10-04 10:13:00,5849
2023-10-04 10:14:00,4456
2023-10-04 10:15:00,2960
2023-10-04 10:16:00,3885
2023-10-04 10:17:00,5857
2023-10-04 10:18:00,6162
2023-10-04 10:19:00,6014
2023-10-04 10:20:00,5652
2023-10-04 10:21:00,4793
2023-10-04 10:22:00,2819
2023-10-04 10:23:00,3687
2023-10-04 10:24:00,4851
2023-10-04 10:25:00,5775
2023-10-04 10:26:00,5443
2023-10-04 10:27:00,5590
2023-10-04 10:28:00,4482
2023-10-04 10:29:00,2792
2023-10-04 10:30:00,3371
2023-10-04 10:31:00,5547
2023-10-04 10:32:00,5468
2023-10-04 10:33:00,5104
2023-10-04 10:34:00,4728
2023-10-04 10:35:00,4024
2023-10-04 10:36:00,2350
2023-10-04 10:37:00,3234
2023-10-04 10:38:00,4948
2023-10-04 10:39:00,5247
2023-10-04 10:40:00,5003
2023-10-04 10:41:00,4816
2023-10-04 10:42:00,4208
2023-10-04 10:43:00,2454
2023-10-04 10:44:00,2763
2023-10-04 10:45:00,4954
2023-10-04 10:46:00,4903
2023-10-04 10:47:00,4907
2023-10-04 10:48:00,4625
2023-10-04 10:49:00,3497
2023-10-04 10:50:00,1826
2023-10-04 10:51:00,2307
2023-10-04 10:52:00,4368
2023-10-04 10:53:00,4233
2023-10-04 10:54:00,4187
2023-10-04 10:55:00,3811
2023-10-04 10:56:00,3179
2023-10-04 10:57:00,1615
2023-10-04 10:58:00,1788
2023-10-04 10:59:00,2959
2023-10-04 11:00:00,3947
2023-10-04 11:01:00,3841
2023-10-04 11:02:00,3729
2023-10-04 11:03:00,3324
2023-10-04 11:04:00,1795
2023-10-04 11:05:00,2373
2023-10-04 11:06:00,4101
2023-10-04 11:07:00,4241
2023-10-04 11:08:00,4478
2023-10-04 11:09:00,3961
2023-10-04 11:10:00,3367
2023-10-04 11:11:00,1828
2023-10-04 11:12:00,2344
2023-10-04 11:13:00,4415
2023-10-04 11:14:00,4403
2023-10-04 11:15:00,4244
2023-10-04 11:16:00,4322
2023-10-04 11:17:00,3456
2023-10-04 11:18:00,2068
2023-10-04 11:19:00,2568
2023-10-04 11:20:00,4770
2023-10-04 11:21:00,4621
2023-10-04 11:22:00,4470
2023-10-04 11:23:00,4307
2023-10-04 11:24:00,3370
2023-10-04 11:25:00,1960
2023-10-04 11:26:00,2412
2023-10-04 11:27:00,4504
2023-10-04 11:28:00,4382
2023-10-04 11:29:00,4710
2023-10-04 11:30:00,4324
2023-10-04 11:31:00,3472
2023-10-04 11:32:00,1909
2023-10-04 11:33:00,2365
2023-10-04 11:34:00,4460
2023-10-04 11:35:00,4479
2023-10-04 11:36:00,4510
2023-10-04 11:37:00,4340
2023-10-04 11:38:00,3508
2023-10-04 11:39:00,2030
2023-10-04 11:40:00,2586
2023-10-04 11:41:00,4476
2023-10-04 11:42:00,3232
2023-10-04 11:43:00,4291
2023-10-04 11:44:00,4247
2023-10-04 11:45:00,3477
2023-10-04 11:46:00,2169
2023-10-04 11:47:00,2430
2023-10-04 11:48:00,4358
2023-10-04 11:49:00,4465
2023-10-04 11:50:00,4550
2023-10-04 11:51:00,4147
2023-10-04 11:52:00,3634
2023-10-04 11:53:00,2014
2023-10-04 11:54:00,2687
2023-10-04 11:55:00,4376
2023-10-04 11:56:00,4318
2023-10-04 11:57:00,4441
2023-10-04 11:58:00,4234
2023-10-04 11:59:00,3027
2023-10-04 12:00:00,1966
2023-10-04 12:01:00,2446
2023-10-04 12:02:00,3779
2023-10-04 12:03:00,4619
2023-10-04 12:04:00,4983
2023-10-04 12:05:00,4645
2023-10-04 12:06:00,3612
2023-10-04 12:07:00,2153
2023-10-04 12:08:00,3089
2023-10-04 12:09:00,4580
2023-10-04 12:10:00,4788
2023-10-04 12:11:00,5095
2023-10-04 12:12:00,4668
2023-10-04 12:13:00,3711
2023-10-04 12:14:00,2523
2023-10-04 12:15:00,3364
2023-10-04 12:16:00,5513
2023-10-04 12:17:00,5362
2023-10-04 12:18:00,5402
2023-10-04 12:19:00,5398
2023-10-04 12:20:00,3783
2023-10-04 12:21:00,2395
2023-10-04 12:22:00,3679
2023-10-04 12:23:00,5688
2023-10-04 12:24:00,5842
2023-10-04 12:25:00,5923
2023-10-04 12:26:00,5717
2023-10-04 12:27:00,4250
2023-10-04 12:28:00,2525
2023-10-04 12:29:00,3923
2023-10-04 12:30:00,5785
2023-10-04 12:31:00,6052
2023-10-04 12:32:00,6150
2023-10-04 12:33:00,5591
2023-10-04 12:34:00,4279
2023-10-04 12:35:00,2897
2023-10-04 12:36:00,3904
2023-10-04 12:37:00,5458
2023-10-04 12:38:00,5909
2023-10-04 12:39:00,6175
2023-10-04 12:40:00,5856
2023-10-04 12:41:00,4610
2023-10-04 12:42:00,3081
2023-10-04 12:43:00,4390
2023-10-04 12:44:00,6507
2023-10-04 12:45:00,6941
2023-10-04 12:46:00,6576
2023-10-04 12:47:00,5985
2023-10-04 12:48:00,4789
2023-10-04 12:49:00,3263
2023-10-04 12:50:00,4180
2023-10-04 12:51:00,6371
2023-10-04 12:52:00,6648
2023-10-04 12:53:00,6501
2023-10-04 12:54:00,6088
2023-10-04 12:55:00,4376
2023-10-04 12:56:00,2733
2023-10-04 12:57:00,3953
2023-10-04 12:58:00,6108
2023-10-04 12:59:00,5668
2023-10-04 13:00:00,6159
2023-10-04 13:01:00,5810
2023-10-04 13:02:00,4491
2023-10-04 13:03:00,3110
2023-10-04 13:04:00,4418
2023-10-04 13:05:00,6529
2023-10-04 13:06:00,5756
2023-10-04 13:07:00,5716
2023-10-04 13:08:00,5323
2023-10-04 13:09:00,4280
2023-10-04 13:10:00,2982
2023-10-04 13:11:00,4365
2023-10-04 13:12:00,6627
2023-10-04 13:13:00,6467
2023-10-04 13:14:00,6631
2023-10-04 13:15:00,6378
2023-10-04 13:16:00,4767
2023-10-04 13:17:00,3501
2023-10-04 13:18:00,4647
2023-10-04 13:19:00,6336
2023-10-04 13:20:00,6222
2023-10-04 13:21:00,5527
2023-10-04 13:22:00,4267
2023-10-04 13:23:00,3733
2023-10-04 13:24:00,3299
2023-10-04 13:25:00,4530
2023-10-04 13:26:00,6908
2023-10-04 13:27:00,7714
2023-10-04 13:28:00,7490
2023-10-04 13:29:00,7190
2023-10-04 13:30:00,5391
2023-10-04 13:31:00,3575
2023-10-04 13:32:00,5285
2023-10-04 13:33:00,7330
2023-10-04 13:34:00,7489
2023-10-04 13:35:00,7345
2023-10-04 13:36:00,6679
2023-10-04 13:37:00,5403
2023-10-04 13:38:00,3573
2023-10-04 13:39:00,4834
2023-10-04 13:40:00,6905
2023-10-04 13:41:00,6743
2023-10-04 13:42:00,6201
2023-10-04 13:43:00,5571
2023-10-04 13:44:00,3872
2023-10-04 13:45:00,2613
2023-10-04 13:46:00,3109
2023-10-04 13:47:00,4324
2023-10-04 13:48:00,4226
2023-10-04 13:49:00,3991
2023-10-04 13:50:00,3160
2023-10-04 13:51:00,2386
2023-10-04 13:52:00,1115
2023-10-04 13:53:00,1387
2023-10-04 13:54:00,2147
2023-10-04 13:55:00,2686
2023-10-04 13:56:00,2885
2023-10-04 13:57:00,2694
2023-10-04 13:58:00,2273
2023-10-04 13:59:00,1188
2023-10-04 14:00:00,1447
2023-10-04 14:01:00,2568
2023-10-04 14:02:00,3566
2023-10-04 14:03:00,3941
2023-10-04 14:04:00,3841
2023-10-04 14:05:00,3261
2023-10-04 14:06:00,2241
2023-10-04 14:07:00,2679
2023-10-04 14:08:00,4182
2023-10-04 14:09:00,4236
2023-10-04 14:10:00,4628
2023-10-04 14:11:00,4205
2023-10-04 14:12:00,3459
2023-10-04 14:13:00,2448
2023-10-04 14:14:00,2853
2023-10-04 14:15:00,4638
2023-10-04 14:16:00,5325
